,date,title,content,gall_name
448,2023.01.11 06:10,[알앤써치] 국민의힘 42.8% vs 더불어민주당 41.8%,"7주만에 오차범위 내 역전 [서울=뉴스핌] 박성준 기자 = 국민의힘 지지율이 7주 만에 오차범위 내에서 더불어민주당에 앞선 여론조사 결과가 11일 나왔다. 국민의힘 지지율은 지난주 대비 2.9%p 상승했고, 민주당...",새로운보수당
449,2022.10.25 22:08,2022헌다1 더불어민주당 해산 청구 사건,"지금부터 2022 헌다-1호 더불어민주당 해산사건 청구인 대한민국 정부, 피청구인 더불어민주당 사건에 관한 선고를 시작하겠습니다. 주문. 1. 피청구인 더불어민주당을 해산한다. 2. 피청구인 소속 국회의원들은...",국민의힘
450,2022.11.09 00:00,더불어민주당의 동향 아니면 무조건 배척하는 순혈주의,부울경에서 활동하는 게 특징인 부산파들은 민주당계 정당의 집권기간 중에서도 타 지역 출신의 더불어민주당 정치인들을 배척하는 순수혈통주의가 매우 심한게 특징이며 이들에게는 부산경남 출신 정치인들...,국내야구
451,2022.08.27 03:24,더불어민주당 마이너 갤러리 상세 관리규정 개정안 상정,"신설과 동일하게 처리 이하 상정내용 갤러리 개요] 더불어민주당 갤러리는 더불어민주당 지지자들이 더불어민주당에 대해 소통하는 공간입니다. 더불어민주당의 이념, 정책, 소속 정치인등을 다루며, 민주당계의...",더불어민주당
452,2022.11.20 11:35,좆불집회 더불어민주당 6명 참석,"촛불집회에 더불어민주당 의원들이 참석해 발언하고 있다. 왼쪽부터 무소속 민형배 의원, 더불어민주당 양이원영 의원, 강민정 의원, 안민석 의원, 유정주 의원, 황운하 의원, 김용민 의원. / 사진=연합뉴스 집회...",부동산
453,2022.10.04 20:45,"민주 광주시당 “윤 정부, 민생 외면·정치탄압 몰두” 더불어민주당 광주","민주 광주시당 “윤 정부, 민생 외면·정치탄압 몰두” 더불어민주당 광주광역시당은 4일 “윤석열 정부의 오만과 독선을 더불어민주당이 바로 잡겠다”고 밝혔다. 민주당 시당은 이날 시당 회의실에서 당직자 등...",걸스플래닛999
454,2022.09.26 14:19,YS 노회찬 두 정신을 잇는건 더불어민주당이다,국짐은 민주주의를 버렸고 노란국짐은 노동을 버렸다 그들의 정신을 이을 수 있는 정당은 더불어민주당이다 DJ 노무현 제정구 김근태 YS 노회찬 등등 좋은건 더불어민주당이 다 이을 수 있다 - dc official App,더불어민주당
455,2022.10.29 13:14,더불어 민주당 김병관 전 의원 강제추행 혐의 기소,"김병관 더불어민주당 전 의원이 강제추행 혐의로 불구속 기소된 사실이 SBS 취재결과 확인됐습니다. 김 전 의원은 의원 재직시절인 지난 2019년, 경기도 성남시에 있는 한 식당에서 남성 A 씨를 대상으로 부적절...",기타 국내 드라마
456,2022.12.20 12:09,한국 pc진영이 대략 20년 정도부터 더불어민주당쪽에게만,"특별히 가혹했다고 생각함. 그 결과 현재의 사회문화적으로도 보수적인 더불어민주당 지지층이 형성된거고. 대략 19년정도까지만해도 민주당 지지층이 지금보단 훨씬 사회문화적으로도 진보였는데, 나도 그랬고.",더불어민주당
457,2022.11.24 16:07,더불어민주당 마이너 갤러리(더민갤) 담당자 윤승현입니다.,"올리지말라, 계속 내리라고 요구했었고 3일전에 당사자가 결국 받아들이고 삭제한것입니다. 2. 더불어민주당 마이너 갤러리가 디시인사이드 갤러리이긴 하나, 엄연한 친민주 커뮤니티입니다. 당에서 수많은 의원...",더불어민주당
458,2023.01.02 00:43,더불어민주당은 반독재 중도보수 중심 빅텐트 정당임.,우리 대한민국의 정당 성향을 보자. 1. 더불어민주당:반독재 중도보수 중심 빅텐트(중도진보~중도보수 혼합) 정당. 2. 국민의 힘:친독재 극보수 파시스트 정당. 3. 정의당:중도~중도진보 정당. 4. 기본소득당...,최강욱
459,2022.11.21 11:03,더불어 민주당은 이제 '민주' 빼라,가능하다고 자부심을 느꼈던 사람들에게 얼마나 절망감을 주는지는 알려나? 이미 탄핵을 맛 본 자들에게는 멈출 수 없는 유혹이겠지... 제발 더불어 민주당은 이제 '민주' 라는 단어를 달고 다닐 자격이 없다...,국민의힘
